,fecha_evento,tiempo_cmt,region,lat_cmt,lon_cmt,depth_cmt,id_evento,exp_cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento_sismico,strike_1,dip_1,rake_1,strike_2,dip_2,rake_2,Mw_cmt
50,2018/03/07,13:49:17.4,"NEW BRITAIN REGION, P.N.",-5.43,151.40,56.1,C201803071349A,24,2.950,-2.720,-0.233,0.082,-0.204,-1.490,0.037,0.027,0.030,0.026,0.026,0.025,3.193,70,45,97,240,45,83.0,5.6
51,2018/03/08,03:51:07.1,"SERAM, INDONESIA        ",-3.32,130.91,7.9,C201803080351A,24,2.960,-0.960,-2.000,-2.830,3.700,2.490,0.053,0.038,0.042,0.143,0.153,0.031,5.822,138,18,86,322,72,91.0,5.8
52,2018/03/08,08:49:44.5,MALAWI                  ,-16.75,35.43,6.4,C201803080849A,24,-3.270,1.400,1.870,-0.159,0.460,-1.560,0.044,0.031,0.033,0.053,0.053,0.021,3.278,316,41,-95,142,49,-86.0,5.6
53,2018/03/08,14:15:18.4,WEST CHILE RISE         ,-43.97,-81.82,10.0,C201803081415A,24,-1.050,0.055,1.000,0.181,0.012,-0.191,0.014,0.013,0.014,0.044,0.039,0.013,1.059,178,45,-77,340,46,-103.0,5.3
54,2018/03/08,17:39:50.5,"NEW IRELAND REGION, P.N.",-4.39,153.20,15.2,C201803081739A,26,0.166,1.530,-1.700,-0.730,-0.068,0.482,0.006,0.006,0.006,0.014,0.012,0.005,1.840,214,73,164,309,75,17.0,6.8
55,2018/03/09,11:06:10.5,"NEW IRELAND REGION, P.N.",-4.35,153.34,45.8,C201803091106A,24,1.530,4.510,-6.040,-2.980,-1.440,0.469,0.046,0.048,0.047,0.058,0.054,0.044,6.383,317,59,17,218,76,148.0,5.8
56,2018/03/09,16:23:22.8,FIJI ISLANDS REGION     ,-21.09,-178.55,538.7,C201803091623A,24,-3.360,3.870,-0.506,-2.300,-0.881,-0.329,0.058,0.095,0.104,0.092,0.099,0.09,4.402,290,31,-63,80,63,-105.0,5.7
57,2018/03/10,14:27:56.9,SOUTH SANDWICH ISLANDS R,-56.30,-28.06,49.9,C201803101427A,24,2.410,-1.390,-1.020,-0.512,-0.609,0.211,0.020,0.024,0.024,0.062,0.066,0.021,2.045,121,42,108,278,50,74.0,5.5
58,2018/03/10,21:45:36.6,NORTH OF ASCENSION ISLAN,-1.38,-15.25,10.0,C201803102145A,25,-0.167,0.511,-0.345,-0.046,0.311,-1.090,0.009,0.008,0.009,0.016,0.019,0.008,1.215,260,74,-176,169,86,-16.0,6.0
59,2018/03/12,06:13:49.2,SOUTHEAST INDIAN RIDGE  ,-46.36,95.97,10.0,C201803120613A,24,-0.347,-2.830,3.170,0.152,0.296,-1.410,0.030,0.036,0.038,0.073,0.075,0.031,3.331,302,84,-180,212,90,-6.0,5.6
