,fecha_evento,tiempo cmt,lat cmt,lon cmt,depth cmt,id evento,exp cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento sismico,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2
78,2018/01/18,04:18:21.0,-15.05,-172.75,10.0,C201801180418A,23,-0.959,2.230,-1.280,-4.510,4.500,0.349,0.125,0.117,0.135,0.364,0.326,0.103,6.642,232,16,-169,132,87,-74.0
79,2018/01/18,10:08:32.0,-4.75,-105.75,10.0,C201801181008A,23,0.022,0.799,-0.820,0.841,-0.654,2.060,0.110,0.098,0.097,0.362,0.317,0.085,2.436,13,68,-171,280,82,-22.0
80,2018/01/18,12:08:53.9,52.52,153.01,466.2,C201801181208A,24,0.243,1.690,-1.940,2.210,-0.882,-5.510,0.053,0.092,0.088,0.086,0.085,0.074,6.256,173,72,11,79,80,161.0
81,2018/01/18,14:58:42.0,14.57,-93.18,24.3,C201801181458A,23,4.800,-3.120,-1.680,1.610,-2.150,1.860,0.195,0.122,0.124,0.189,0.219,0.077,5.317,297,31,76,133,60,98.0
82,2018/01/18,17:48:40.5,-6.40,132.81,33.0,C201801181748A,24,1.820,-4.420,2.600,1.120,0.883,0.160,0.054,0.040,0.052,0.055,0.061,0.04,3.933,313,58,160,53,73,34.0
83,2018/01/19,01:11:39.0,-13.23,-74.58,80.8,C201801190111A,23,-5.840,1.010,4.830,-0.067,-2.990,1.580,0.135,0.138,0.178,0.112,0.146,0.144,6.359,207,32,-77,12,59,-98.0
84,2018/01/19,05:44:46.8,-6.06,154.92,164.2,C201801190544A,23,0.785,-1.190,0.400,1.150,-3.010,3.660,0.227,0.223,0.235,0.173,0.182,0.261,4.896,263,48,5,169,86,138.0
85,2018/01/19,16:17:44.7,26.69,-111.08,10.0,C201801191617A,25,-0.201,-3.040,3.240,-0.097,-0.463,-0.612,0.014,0.015,0.016,0.036,0.038,0.013,3.231,129,83,177,220,87,7.0
86,2018/01/19,22:17:55.9,33.72,45.71,10.0,C201801192217A,23,3.330,-0.710,-2.620,1.220,-0.682,1.770,0.090,0.097,0.082,0.326,0.297,0.073,3.779,341,37,109,138,56,76.0
87,2018/01/20,05:51:32.8,44.59,149.20,45.2,C201801200551A,23,2.690,-1.510,-1.180,0.598,1.440,-2.080,0.201,0.148,0.130,0.219,0.173,0.095,3.458,243,35,115,34,59,74.0
88,2018/01/20,11:31:14.7,-28.92,-71.91,35.0,C201801201131A,23,-0.863,5.230,-4.370,0.062,-4.020,4.010,0.201,0.136,0.179,0.122,0.178,0.12,7.426,291,62,-13,28,78,-151.0
89,2018/01/20,11:47:50.2,-22.11,-179.46,579.7,B201801201147A,24,-0.195,-0.436,0.631,-0.191,-1.290,-0.637,0.067,0.123,0.112,0.122,0.089,0.101,1.544,110,31,-171,12,85,-59.0
90,2018/01/20,13:48:54.4,26.64,-111.03,10.0,C201801201348A,23,-0.579,-2.590,3.170,-0.486,0.221,-0.655,0.122,0.092,0.110,0.255,0.232,0.076,3.012,38,79,-6,129,85,-169.0
91,2018/01/20,19:56:02.5,17.08,120.05,21.7,C201801201956A,23,2.300,0.433,-2.740,-0.945,-1.600,-0.479,0.225,0.139,0.142,0.179,0.141,0.083,3.176,352,30,62,203,64,105.0
92,2018/01/21,01:06:42.7,-18.88,-69.44,116.0,C201801210106A,25,-2.390,-0.363,2.750,0.296,-2.750,-0.013,0.019,0.021,0.024,0.015,0.018,0.021,3.777,186,22,-80,355,69,-94.0
93,2018/01/21,12:56:12.2,-15.29,-13.11,10.0,C201801211256A,23,-2.590,0.505,2.080,-1.210,-2.190,-1.030,0.145,0.092,0.102,0.298,0.305,0.063,3.516,135,33,-134,4,67,-66.0
94,2018/01/21,17:04:12.6,30.23,-114.25,10.0,C201801211704A,23,-0.285,-1.650,1.930,0.305,-0.286,1.890,0.088,0.078,0.084,0.207,0.201,0.078,2.641,248,81,-5,339,85,-171.0
95,2018/01/21,19:06:02.3,11.29,-87.06,23.4,C201801211906A,23,2.490,-1.850,-0.633,1.890,-2.620,0.985,0.136,0.092,0.085,0.205,0.282,0.057,4.040,286,21,59,138,72,101.0
96,2018/01/22,00:53:26.9,-10.55,-74.95,112.7,C201801220053A,23,-3.540,0.478,3.060,0.490,0.445,-2.070,0.080,0.103,0.118,0.086,0.111,0.106,3.946,319,45,-107,163,47,-73.0
97,2018/01/22,13:58:02.3,16.42,-83.27,10.0,C201801221358A,23,0.133,-0.754,0.621,0.306,0.452,1.170,0.058,0.053,0.058,0.192,0.157,0.044,1.466,343,74,165,77,76,17.0
98,2018/01/22,19:39:58.1,5.63,-32.88,10.0,C201801221939A,23,-3.620,-0.017,3.640,1.570,0.748,-0.600,0.083,0.086,0.070,0.352,0.248,0.071,4.042,331,45,-121,192,53,-63.0
99,2018/01/22,22:03:04.0,5.75,-32.75,10.0,C201801222203A,23,-1.520,-0.003,1.520,0.011,-0.570,-0.174,0.171,0.101,0.117,0.246,0.185,0.067,1.633,172,35,-93,355,55,-88.0
100,2018/01/23,03:16:29.9,-34.92,-108.84,10.0,C201801230316A,23,-3.570,-1.170,4.730,-0.749,-0.176,-1.610,0.119,0.130,0.088,0.405,0.302,0.096,4.487,4,48,-64,148,48,-116.0
101,2018/01/23,05:59:56.4,-5.90,154.73,139.4,C201801230559A,23,0.631,-1.470,0.837,-4.910,-6.140,0.089,0.193,0.264,0.273,0.168,0.163,0.297,7.946,121,8,171,220,89,82.0
102,2018/01/23,06:34:55.0,-7.09,105.96,48.2,C201801230634A,25,0.221,-1.020,0.796,0.821,0.574,-0.168,0.009,0.010,0.011,0.012,0.011,0.008,1.351,311,41,172,47,85,49.0
103,2018/01/23,09:31:40.9,56.00,-149.17,14.1,C201801230931A,28,0.236,-0.485,0.250,0.194,-0.362,0.791,0.002,0.002,0.002,0.011,0.012,0.001,0.960,257,64,4,165,86,154.0
104,2018/01/23,21:52:30.8,-62.49,165.43,10.0,C201801232152A,24,-0.430,1.790,-1.360,-0.736,0.064,-0.354,0.088,0.063,0.055,0.118,0.141,0.047,1.724,323,77,11,230,79,167.0
